Timestamp: 1667207117078
Query tokens:  | - | 17751  | - | 11377  | - | 29128  | - | democratic hold 
5a709561c868a712fd7391df:2 = 
5a709574c868a712fd7393db:3 = 
5a709561c868a712fd7391df:1 = 
5a709574c868a712fd7393db:1 = 
5a709561c868a712fd7391df:3 = 
5a709574c868a712fd7393db:2 = 
5a709574c868a712fd7393df:3 = 
5a709574c868a712fd7393db:0 = 
5a709561c868a712fd7391df:0 = 
5a709574c868a712fd7393df:1 = 
5a709574c868a712fd7393df:2 = 
5a7090dfc868a712fd731dae:0 = 
5a709574c868a712fd7393d8:1 = 
5a709574c868a712fd7393d8:2 = 
5a709574c868a712fd7393d8:0 = 
5a709574c868a712fd7393d8:3 = 
5a70a362c868a712fd751a49:1 = 
5a709574c868a712fd7393df:0 = 
5a708b06c868a712fd72b062:1 = 
5a709560c868a712fd7391ba:2 = 
5a708b06c868a712fd72b062:2 = 
5a709560c868a712fd7391ba:1 = 
5a708becc868a712fd72bfb5:0 = 
5a709639c868a712fd73cb4e:2 = 
5a709561c868a712fd7391dd:0 = 
5a709561c868a712fd7391dd:2 = 
5a709574c868a712fd7393dd:3 = 
5a7095a9c868a712fd739dc0:1 = 
5a709561c868a712fd7391dd:1 = 
5a709574c868a712fd7393dd:1 = 
5a709574c868a712fd7393dd:2 = 
5a709574c868a712fd7393dd:0 = 
5a709574c868a712fd7393d7:0 = 
5a709574c868a712fd7393d7:1 = 
5a709561c868a712fd7391dd:3 = 
5a709508c868a712fd73869e:2 = 
5a709508c868a712fd73869e:3 = 
5a709574c868a712fd7393d7:2 = 
5a709574c868a712fd7393d7:3 = 
5a7090d8c868a712fd731d6e:0 = 
5a7090ebc868a712fd731e59:0 = 
5a709a7cc868a712fd743487:1 = 
5a709561c868a712fd7391de:1 = 
5a709561c868a712fd7391de:0 = 
5a709561c868a712fd7391de:3 = 
5a709574c868a712fd7393dc:2 = 
5a709561c868a712fd7391de:2 = 
5a709574c868a712fd7393dc:3 = 
5a709574c868a712fd7393dc:0 = 
5a709574c868a712fd7393dc:1 = 
5a709574c868a712fd7393d6:0 = 
5a709574c868a712fd7393e0:0 = 
5a709574c868a712fd7393e0:1 = 
5a709574c868a712fd7393d6:3 = 
5a709574c868a712fd7393d6:1 = 
5a709574c868a712fd7393d6:2 = 
Elapsed 730035ms
